Address,beforeDOTA,afterDOTA,status
12BMZkEWnVQuKa8PP5F1z97S4w1HpiuNoz27fRWrSSKfTApr,0.0,1.01,New
157n4fS8ZFYYH7T9HdN9Nmyrycq3td7uM76yodDBZ3cr5U18,19.85,0.0,Old
14zxnrNSMsqbXTMMYFSpitgsQGyDuZEFV91h9hZJJsuPhWS3,0.0,81.61,New
16hZuFuykugjnKhnNNqUXMVK42RsBxgKr32SmDhNEMH6BbXB,0.0,102.9,New
13NMoNCPoEgow7cQGdksdHUg4T4gsbLpZLeJ3vc7dx85Y11a,0.0,2.13,New
138oLWcjwMTKcsfCwioaFk2Lwoay5SrYKb6wUbc1f2pnqyUb,0.0,202.39,New
15DjiA2MgapHiDd1cAWC98a48hVYfRJJLHQaAaC9SwGVTQee,0.0,1.02,New
1eFCcfWbkuutnTGXSbsAkdiRPvrHqUGVLkW9ib2JKbAEC1g,0.0,203.03,New
156JiiY4vbHdtZNLnR9Cv3R5BtALCT8U9ffqi8JAiU7LPJqY,0.0,197.7,New
15PrtkZfLfXKCKNs5ahj4QiNoGrXNdk4rS8ksKv9GvZbjkjK,0.0,1.0,New
133fFyoqAg6ZFLQFk2fctmokRAKYSE9C8MuW6FSQ1oxXpQ8f,66.0,9.99,Old
14wvH9bMiRJC5Tg2ZMiQPurXvW5JX7a29f7D9vq9ri52H99c,0.0,21.83,New
138w6rJemePzpY1gc78zhHtpzFD871KsvV8m65kaa9eaJmAn,19.92,0.0,Old
15tQejykqhNYuJHYuHuGNvUY4BAgWxRJJp43YDJD9TnX7sbo,0.0,142.71,New
155c2Ra1rFC51gcMRyR6R5wTRh7asGhN8auxbWEshLPpe6ty,0.0,2.27,New
1nCbeprfLZ7WEbaVWLQdiLoySFtX4ck6ScJe5KkW39qAiu5,0.0,190.49,New
12CQefmQhX7X6Mqvty36kZoApR1CeNJd6qdUCFoCubT5NMRm,0.0,293.23,New
138NQTks6Uun6GMACVo21PN8Vrt5J6tZbKDqiAHKgP96Gygk,0.0,1.01,New
15oXFs1bjKjxUxJjDmTFRzP2hLqm7DYiKngnAZYKYQLdtaBh,0.0,3.27,New
16kirtcYKudF47DxUxmZXjxN1fMMCRpxPYN2bfUxoHcE8nPg,1.17,1.01,Old
13zsRiMKQGkdkQnPnqynBNFdkgTGqWZiB5XRjwYUHC5jBSWS,0.0,9.61,New
16K8Bz77oHtkavc3Qcn84C2bctWqanSHALUntyymUWD26DQ4,0.0,290.17,New
16M7MiXANdtVnxMEimB6ho2X3JhMX8qWvUc8ndgWUwugcQ3U,0.0,290.33,New
1qbM6jD2VUmN6cHRypvKLhpTsDdYcYa2pwDXSsPZGXpBHes,0.0,1.0,New
16LbTqWQNL8QkYDDNPrQpeiGS6j9UFwKFC23uFHLuJezuGDE,0.0,12.63,New
14ryjvLc64nuQLJGcfBh7M2LUxMW7nVjR2zELD5SGdnwyrAU,0.0,31.44,New
13j1xVuWpKzUvoXp8d7D1Uqf4HvRSxCsymfz2HZLewKoVRxn,0.0,8.9,New
15wBkNGV36xBNjgahtWw5WoWyQoVWZBKZ3KzdFyuwifnEBRo,0.0,22.19,New
14QWpAg5VHRLXHXMHU958j3DPUetyFen8T7WZV87ZYPR5J4A,0.0,1.01,New
1Ew9r2xcFxPBbGW5FWWWSysL968RktFPXZWZM5UmBRLtseE,0.0,1.01,New
16MQUaaL2HnnR9pGL2W1Rqd5ugScnjfFP9NtKXqGXjNbaRd3,0.0,1.0,New
1c9eocRredeM9Nia5WMUU6Vw2pbpe4bb5u5rdVPkT1iKQkz,0.0,1.01,New
16wCTFhMQWJYfRYHqNWCAE2uHQtLmwY9rTR1nbEZFh4D4QK,0.0,1.01,New
12TmP2ZZx4ebpMtbdvqFGukUZtGo64cKJWKeK71udmpBqjZB,0.0,46.82,New
12utHNY6W2QUyL7zR2h24jxaVrNmouitss8ZBRg77uFMJyiM,0.0,31.19,New
12RKACFgUbpwX8Kt1PVR3fYQsgVLj3e7o9XXFGahXBj43sUR,0.0,23.1,New
16aMtaf32PL1LCU3QDim1cigkEzoi7EBmBHFUv6ZcZ1xzXzj,0.0,4.83,New
1rKYGeimghWZjbyqBTqoVC81q21ZYPBZFw4atdqLNBkPiL5,0.0,15.28,New
14anDoWqJimnuGMk4WiL5kVQd3a8LUdE8qpBGqQy6XWDmHig,0.0,1.02,New
13mfussp4gnTvUVZQbPu4EkyLx7DePdCJhK7LUPBhEhGggh9,0.0,55.56,New
13G7wgpteLfztQRq7Fngca3dtkskLA3Eob1nooiNkYvGy26x,0.0,16.61,New
12ZeM8qRKRvrv6mZTAAUDFYQzq3b5QqnqaoNPHpJ2LmkDZLX,0.0,3.22,New
12xHrvi2fYC1kst5eZhbWJ2gqzmyqBzSMrc9qmLERcdcyhfc,0.0,1.01,New
12HMCYHgBp68kSmKMRHTRwwaX9LshZoF3GiiwHYnSbiyCZur,0.0,1.01,New
1q8XM5JNabCrYxzUdEUHQuJMPatf2DAJ3tR22MEJ765zgoP,0.0,1.01,New
1WJeMz99TBAAayLYqaWF5z7pMMcnxJAePSrFueuLYFZGau1,0.0,873.47,New
136Ce5ztzCqb22GESq7SgF2hBu5BoRE95bXAZV8C4VRsXSkD,0.0,12.09,New
1EXT1XqT66XXBKnn5pY6tL3Fbkn1xaco3KqfBRFWko9DKKa,0.0,1.01,New
1yEfALvtWS7s72WfZmxNRTVp4AbiReGxpemwMoEWiNZUPWY,0.0,717.84,New
12YcvUUjshwKV2VeQq2kk15QAUrULfQVvEtdE3vasNZBpsHZ,0.0,881.58,New
15thLYXsqx4saFYZK3KRHC2LUoTExwBVx1UA2brHD5d1jtoe,0.0,25.18,New
16M8wX3U5Ju28yjqvqs4PjdZFcYxEC9cfFC2uckqx3hbNAiB,0.0,1444.94,New
1NsgeAcKX6NkcjW4Gdvx7H8VvvtHiY9wTBNRmCuWm1fvu1G,6.55,1.24,Old
121s33ZYWX6pEZEPZi4F1yEtmE6WmLwDZUiNZK8xX3tPyiqk,0.0,15.51,New
165KdVgusHtNE6vk9DqH4vubFZ5Eer8GfdPvNnxxkbTWmmPF,0.0,1.0,New
